"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","stimulus","rt","response","question_order","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","1","","","","","","",""
"","","","","","html-button-response","1","2.1.0","2","
      <p><strong>Welcome to the study!</strong></p>
      <p>Click the button below to continue to the 'Experiment Consent Form':</p>
      ","570","0","","","",""
"","","","","","survey-multi-choice","2","2.1.0","2","","2428","{""DataConsent"":""Yes""}","[0]","","",""
"","","","","","html-button-response","3","2.1.0","2","<p><strong>Instructions</strong>
      <p style=""color: white"";>.</p>
      <p>At the start of every trial, a '+' sign will appear at the centre of the screen, telling you to focus on the centre.</p>
      <p style=""color: white"";>.</p>
      <p style=""color: white"";>.</p>
      <p><div style=""font-size:60px;"">+</div></p>
      <p style=""color: white"";>.</p>
      <p style=""color: white"";>.</p>

      <p>Click <strong>'Next'</strong> to continue to the next instructions:<p>
      ","1195","0","","","",""
"","","","","","html-button-response","4","2.1.0","3","<p>After, a picture will appear of a scene for a couple of seconds. One of the people's faces will be covered by a white circle like this:</p>
      <p><img src='instructions_example_img.png' width='300'></img></p>
      <p><strong>No response is needed.</strong></p>
      <p>Just think about what is happening in the scene and what facial expression is behind the white circle.</p>
      <p>Click <strong>'Next'</strong> to continue to the next instructions:<p>
      ","614","0","","","",""
"","","","","","html-button-response","5","2.1.0","3","<p>The screen will automatically change to the response screen.</p>
      <p style=""color: white"";>.</p>
      <p>You will have the option of choosing between these 3 different emojis:</p>
      <p><img src='6basicemotions.png' width='300'></img></p>
      <p>Press the key <strong>[f, g, h]</strong> that corresponds to the emoji you think <strong>BEST represents the covered face</strong> from the last scene.</p>
      <p style=""color: white"";>.</p>
      <p>Click <strong>'Next'</strong> to continue to the next instructions:<p>
      ","487","0","","","",""
"","","","","","html-button-response","6","2.1.0","3","<p>You will do this for multiple trials.</p>
      <p>Try to respond as soon as you know the answer.</p>
      <p style=""color: white"";>.</p>
      <p>Once all trials are completed, you will be asked to fill out a quick survey.</p>
      <p>All responses will be completely anonymous.</p>


      <p style=""color: white"";>.</p>
      <p>Click <strong>'Start'</strong> to start the experiment!:<p>
      ","749","0","","","",""
"","","","","","html-keyboard-response","7","2.1.0","3","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","8","2.1.0","4","angry_img/angryChild1.png","null","null","","scene","angry.png",""
"","","","","","image-keyboard-response","9","2.1.0","4","6basicemotions.png","837","h","","response","h","true"
"","","","","","html-keyboard-response","10","2.1.0","4","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","11","2.1.0","5","happy_img/happyChild6.png","null","null","","scene","happy.png",""
"","","","","","image-keyboard-response","12","2.1.0","5","6basicemotions.png","514","g","","response","f","false"
"","","","","","html-keyboard-response","13","2.1.0","5","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","14","2.1.0","6","angry_img/angryChild3.png","null","null","","scene","angry.png",""
"","","","","","image-keyboard-response","15","2.1.0","6","6basicemotions.png","485","h","","response","h","true"
"","","","","","html-keyboard-response","16","2.1.0","6","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","17","2.1.0","6","happy_img/happyChild5.png","null","null","","scene","happy.png",""
"","","","","","image-keyboard-response","18","2.1.0","7","6basicemotions.png","493","g","","response","f","false"
"","","","","","html-keyboard-response","19","2.1.0","7","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","20","2.1.0","7","angry_img/angryChild6.png","null","null","","scene","angry.png",""
"","","","","","image-keyboard-response","21","2.1.0","7","6basicemotions.png","620","h","","response","h","true"
"","","","","","html-keyboard-response","22","2.1.0","7","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","23","2.1.0","7","happy_img/happyChild1.png","null","null","","scene","happy.png",""
"","","","","","image-keyboard-response","24","2.1.0","7","6basicemotions.png","559","h","","response","f","false"
"","","","","","html-keyboard-response","25","2.1.0","8","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","26","2.1.0","8","sad_img/sadChild4.png","null","null","","scene","sad.png",""
"","","","","","image-keyboard-response","27","2.1.0","8","6basicemotions.png","567","h","","response","g","false"
"","","","","","html-keyboard-response","28","2.1.0","8","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","29","2.1.0","8","sad_img/sadChild2.png","null","null","","scene","sad.png",""
"","","","","","image-keyboard-response","30","2.1.0","8","6basicemotions.png","602","g","","response","g","true"
"","","","","","html-keyboard-response","31","2.1.0","8","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","32","2.1.0","8","sad_img/sadChild1.png","null","null","","scene","sad.png",""
"","","","","","image-keyboard-response","33","2.1.0","8","6basicemotions.png","636","g","","response","g","true"
"","","","","","html-keyboard-response","34","2.1.0","9","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","35","2.1.0","9","sad_img/sadChild8.png","null","null","","scene","sad.png",""
"","","","","","image-keyboard-response","36","2.1.0","9","6basicemotions.png","694","f","","response","g","false"
"","","","","","html-keyboard-response","37","2.1.0","9","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","38","2.1.0","9","sad_img/sadChild7.png","null","null","","scene","sad.png",""
"","","","","","image-keyboard-response","39","2.1.0","9","6basicemotions.png","482","h","","response","g","false"
"","","","","","html-keyboard-response","40","2.1.0","9","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","41","2.1.0","9","happy_img/happyChild4.png","null","null","","scene","happy.png",""
"","","","","","image-keyboard-response","42","2.1.0","9","6basicemotions.png","600","f","","response","f","true"
"","","","","","html-keyboard-response","43","2.1.0","9","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","44","2.1.0","10","angry_img/angryChild7.png","null","null","","scene","angry.png",""
"","","","","","image-keyboard-response","45","2.1.0","10","6basicemotions.png","596","g","","response","h","false"
"","","","","","html-keyboard-response","46","2.1.0","10","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","47","2.1.0","10","happy_img/happyChild3.png","null","null","","scene","happy.png",""
"","","","","","image-keyboard-response","48","2.1.0","10","6basicemotions.png","617","f","","response","f","true"
"","","","","","html-keyboard-response","49","2.1.0","10","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","50","2.1.0","10","happy_img/happyChild7.png","null","null","","scene","happy.png",""
"","","","","","image-keyboard-response","51","2.1.0","10","6basicemotions.png","660","g","","response","f","false"
"","","","","","html-keyboard-response","52","2.1.0","10","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","53","2.1.0","10","happy_img/happyChild8.png","null","null","","scene","happy.png",""
