"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","stimulus","rt","response","question_order","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","1","","","","","","",""
"","","","","","html-button-response","1","2.1.0","1","
      <p><strong>Welcome to the study!</strong></p>
      <p>Click the button below to continue to the 'Experiment Consent Form':</p>
      ","552","0","","","",""
"","","","","","survey-multi-choice","2","2.1.0","2","","3506","{""DataConsent"":""Yes""}","[0]","","",""
"","","","","","html-button-response","3","2.1.0","2","<p><strong>Instructions</strong>
      <p style=""color: white"";>.</p>
      <p>At the start of every trial, a '+' sign will appear at the centre of the screen, telling you to focus on the centre.</p>
      <p style=""color: white"";>.</p>
      <p style=""color: white"";>.</p>
      <p><div style=""font-size:60px;"">+</div></p>
      <p style=""color: white"";>.</p>
      <p style=""color: white"";>.</p>

      <p>Click <strong>'Next'</strong> to continue to the next instructions:<p>
      ","657","0","","","",""
"","","","","","html-button-response","4","2.1.0","2","<p>After, a picture will appear of a scene for a couple of seconds. One of the people's faces will be covered by a white circle like this:</p>
      <p><img src='instructions_example_img.png' width='300'></img></p>
      <p><strong>No response is needed.</strong></p>
      <p>Just think about what is happening in the scene and what facial expression is behind the white circle.</p>
      <p>Click <strong>'Next'</strong> to continue to the next instructions:<p>
      ","786","0","","","",""
"","","","","","html-button-response","5","2.1.0","2","<p>The screen will automatically change to the response screen.</p>
      <p style=""color: white"";>.</p>
      <p>You will have the option of choosing between these 3 different emojis:</p>
      <p><img src='6basicemotions.png' width='300'></img></p>
      <p>Press the key <strong>[f, g, h]</strong> that corresponds to the emoji you think <strong>BEST represents the covered face</strong> from the last scene.</p>
      <p style=""color: white"";>.</p>
      <p>Click <strong>'Next'</strong> to continue to the next instructions:<p>
      ","689","0","","","",""
"","","","","","html-button-response","6","2.1.0","2","<p>You will do this for multiple trials.</p>
      <p>Try to respond as soon as you know the answer.</p>
      <p style=""color: white"";>.</p>
      <p>Once all trials are completed, you will be asked to fill out a quick survey.</p>
      <p>All responses will be completely anonymous.</p>


      <p style=""color: white"";>.</p>
      <p>Click <strong>'Start'</strong> to start the experiment!:<p>
      ","805","0","","","",""
"","","","","","html-keyboard-response","7","2.1.0","3","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","8","2.1.0","3","angry_img/angryChild5.png","null","null","","scene","angry.png",""
"","","","","","image-keyboard-response","9","2.1.0","3","6basicemotions.png","483","h","","response","h","true"
"","","","","","html-keyboard-response","10","2.1.0","3","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","11","2.1.0","4","angry_img/angryChild2.png","null","null","","scene","angry.png",""
"","","","","","image-keyboard-response","12","2.1.0","4","6basicemotions.png","837","f","","response","h","false"
"","","","","","html-keyboard-response","13","2.1.0","4","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","14","2.1.0","4","happy_img/happyChild8.png","null","null","","scene","happy.png",""
"","","","","","image-keyboard-response","15","2.1.0","4","6basicemotions.png","980","f","","response","f","true"
"","","","","","html-keyboard-response","16","2.1.0","4","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","17","2.1.0","4","sad_img/sadChild8.png","null","null","","scene","sad.png",""
"","","","","","image-keyboard-response","18","2.1.0","5","6basicemotions.png","531","f","","response","g","false"
"","","","","","html-keyboard-response","19","2.1.0","5","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","20","2.1.0","5","angry_img/angryChild7.png","null","null","","scene","angry.png",""
"","","","","","image-keyboard-response","21","2.1.0","5","6basicemotions.png","569","f","","response","h","false"
"","","","","","html-keyboard-response","22","2.1.0","5","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","23","2.1.0","5","sad_img/sadChild1.png","null","null","","scene","sad.png",""
"","","","","","image-keyboard-response","24","2.1.0","6","6basicemotions.png","608","h","","response","g","false"
"","","","","","html-keyboard-response","25","2.1.0","6","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","26","2.1.0","6","happy_img/happyChild4.png","null","null","","scene","happy.png",""
"","","","","","image-keyboard-response","27","2.1.0","6","6basicemotions.png","572","g","","response","f","false"
"","","","","","html-keyboard-response","28","2.1.0","6","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","29","2.1.0","7","happy_img/happyChild1.png","null","null","","scene","happy.png",""
