"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","stimulus","rt","response","question_order","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","2","","","","","","",""
"","","","","","html-button-response","1","2.1.0","2","
      <p><strong>Welcome to the study!</strong></p>
      <p>Click the button below to continue to the 'Experiment Consent Form':</p>
      ","602","0","","","",""
"","","","","","survey-multi-choice","2","2.1.0","3","","2883","{""DataConsent"":""Yes""}","[0]","","",""
"","","","","","html-button-response","3","2.1.0","3","<p><strong>Instructions</strong>
      <p style=""color: white"";>.</p>
      <p>At the start of every trial, a '+' sign will appear at the centre of the screen, telling you to focus on the centre.</p>
      <p style=""color: white"";>.</p>
      <p style=""color: white"";>.</p>
      <p><div style=""font-size:60px;"">+</div></p>
      <p style=""color: white"";>.</p>
      <p style=""color: white"";>.</p>

      <p>Click <strong>'Next'</strong> to continue to the next instructions:<p>
      ","545","0","","","",""
"","","","","","html-button-response","4","2.1.0","3","<p>After, a picture will appear of a scene for a couple of seconds. One of the people's faces will be covered by a white circle like this:</p>
      <p><img src='instructions_example_img.png' width='300'></img></p>
      <p><strong>No response is needed.</strong></p>
      <p>Just think about what is happening in the scene and what facial expression is behind the white circle.</p>
      <p>Click <strong>'Next'</strong> to continue to the next instructions:<p>
      ","554","0","","","",""
"","","","","","html-button-response","5","2.1.0","4","<p>The screen will automatically change to the response screen.</p>
      <p style=""color: white"";>.</p>
      <p>You will have the option of choosing between these 3 different emojis:</p>
      <p><img src='6basicemotions.png' width='300'></img></p>
      <p>Press the key <strong>[f, g, h]</strong> that corresponds to the emoji you think <strong>BEST represents the covered face</strong> from the last scene.</p>
      <p style=""color: white"";>.</p>
      <p>Click <strong>'Next'</strong> to continue to the next instructions:<p>
      ","839","0","","","",""
"","","","","","html-button-response","6","2.1.0","4","<p>You will do this for multiple trials.</p>
      <p>Try to respond as soon as you know the answer.</p>
      <p style=""color: white"";>.</p>
      <p>Once all trials are completed, you will be asked to fill out a quick survey.</p>
      <p>All responses will be completely anonymous.</p>


      <p style=""color: white"";>.</p>
      <p>Click <strong>'Start'</strong> to start the experiment!:<p>
      ","574","0","","","",""
"","","","","","html-keyboard-response","7","2.1.0","4","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","8","2.1.0","5","happy_img/happyChild3.png","null","null","","scene","happy.png",""
"","","","","","image-keyboard-response","9","2.1.0","5","6basicemotions.png","790","h","","response","f","false"
